symbol,name,sector,security_type,board,index_membership,effective_date,end_date,source
2328.HK,PICC P&C (H),Financials,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2331.HK,LI NING,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2338.HK,WEICHAI POWER (H),"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-09-07,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260821T174500.pdf
2359.HK,WUXI APPTEC (H),Healthcare,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2382.HK,SUNNY OPTICAL,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2388.HK,BOC HONG KONG,Financials,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2423.HK,BEKE - W,Properties & Construction,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2600.HK,CHALCO (H),"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2618.HK,JD LOGISTICS,"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2628.HK,CHINA LIFE (H),Financials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2688.HK,ENN ENERGY,Telecommunications and Utilities,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
2899.HK,ZIJIN MINING (H),Materials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3328.HK,BANKCOMM (H),Financials,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3690.HK,MEITUAN - W,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3692.HK,HANSOH PHARMA,Healthcare,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3750.HK,CATL (H),"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3968.HK,CM BANK (H),Financials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3988.HK,BANK OF CHINA (H),Financials,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
3993.HK,CMOC (H),"Energy, Materials, Industrials and Conglomerates",Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
6160.HK,BEONE MEDICINES,Healthcare,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
6181.HK,LAOPU GOLD (H),Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
6618.HK,JD HEALTH,Healthcare,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
